target,num_stamps,overpayment,stamps
145,6,1,"[63, 40, 24, 10, 5, 4]"
145,6,0,"[63, 40, 24, 10, 5, 3]"
145,6,0,"[63, 40, 24, 10, 4, 4]"
145,5,14,"[63, 24, 24, 24, 24]"
145,5,0,"[63, 24, 24, 24, 10]"
145,6,0,"[63, 24, 24, 24, 5, 5]"
145,4,47,"[48, 48, 48, 48]"
145,4,39,"[48, 48, 48, 40]"
145,4,23,"[48, 48, 48, 24]"
145,4,9,"[48, 48, 48, 10]"
145,4,4,"[48, 48, 48, 5]"
145,4,3,"[48, 48, 48, 4]"
145,4,2,"[48, 48, 48, 3]"
145,4,1,"[48, 48, 48, 2]"
145,4,0,"[48, 48, 48, 1]"
145,4,31,"[48, 48, 40, 40]"
145,4,15,"[48, 48, 40, 24]"
145,4,1,"[48, 48, 40, 10]"
145,5,1,"[48, 48, 40, 5, 5]"
145,5,0,"[48, 48, 40, 5, 4]"
145,6,2,"[48, 48, 40, 5, 3, 3]"
145,6,1,"[48, 48, 40, 5, 3, 2]"
145,6,0,"[48, 48, 40, 5, 3, 1]"
145,6,0,"[48, 48, 40, 5, 2, 2]"
145,6,3,"[48, 48, 40, 4, 4, 4]"
145,6,2,"[48, 48, 40, 4, 4, 3]"
145,6,1,"[48, 48, 40, 4, 4, 2]"
145,6,0,"[48, 48, 40, 4, 4, 1]"
145,6,1,"[48, 48, 40, 4, 3, 3]"
145,6,0,"[48, 48, 40, 4, 3, 2]"
145,6,0,"[48, 48, 40, 3, 3, 3]"
145,5,23,"[48, 48, 24, 24, 24]"
145,5,9,"[48, 48, 24, 24, 10]"
145,5,4,"[48, 48, 24, 24, 5]"
145,5,3,"[48, 48, 24, 24, 4]"
145,5,2,"[48, 48, 24, 24, 3]"
145,5,1,"[48, 48, 24, 24, 2]"
145,5,0,"[48, 48, 24, 24, 1]"
145,6,5,"[48, 48, 24, 10, 10, 10]"
145,6,0,"[48, 48, 24, 10, 10, 5]"
145,4,23,"[48, 40, 40, 40]"
145,4,7,"[48, 40, 40, 24]"
145,5,3,"[48, 40, 40, 10, 10]"
145,6,3,"[48, 40, 40, 10, 5, 5]"
145,6,2,"[48, 40, 40, 10, 5, 4]"
145,6,1,"[48, 40, 40, 10, 5, 3]"
145,6,0,"[48, 40, 40, 10, 5, 2]"
145,6,1,"[48, 40, 40, 10, 4, 4]"
145,6,0,"[48, 40, 40, 10, 4, 3]"
145,5,15,"[48, 40, 24, 24, 24]"
145,5,1,"[48, 40, 24, 24, 10]"
145,6,1,"[48, 40, 24, 24, 5, 5]"
145,6,0,"[48, 40, 24, 24, 5, 4]"
145,6,23,"[48, 24, 24, 24, 24, 24]"
145,6,9,"[48, 24, 24, 24, 24, 10]"
145,6,4,"[48, 24, 24, 24, 24, 5]"
145,6,3,"[48, 24, 24, 24, 24, 4]"
145,6,2,"[48, 24, 24, 24, 24, 3]"
145,6,1,"[48, 24, 24, 24, 24, 2]"
145,6,0,"[48, 24, 24, 24, 24, 1]"
145,4,15,"[40, 40, 40, 40]"
145,5,23,"[40, 40, 40, 24, 24]"
145,5,9,"[40, 40, 40, 24, 10]"
145,5,4,"[40, 40, 40, 24, 5]"
145,5,3,"[40, 40, 40, 24, 4]"
145,5,2,"[40, 40, 40, 24, 3]"
145,5,1,"[40, 40, 40, 24, 2]"
145,5,0,"[40, 40, 40, 24, 1]"
145,6,5,"[40, 40, 40, 10, 10, 10]"
145,6,0,"[40, 40, 40, 10, 10, 5]"
145,5,7,"[40, 40, 24, 24, 24]"
145,6,3,"[40, 40, 24, 24, 10, 10]"
145,6,15,"[40, 24, 24, 24, 24, 24]"
145,6,1,"[40, 24, 24, 24, 24, 10]"
